Species_ID,Genus_ID,Model_ID,Family,Genus,Species,Common_Name,Group,Tribe,Native,PFG_Page,Sportfish,NonGame,Subsistence,Sensitivity,Rarity,Ubiquity,Extent,Tolerance,Robustness,Max_Age,Max_Length,Mean_Length,Mean_Weight,Girth_Index,WL_A,WL_B,Thinning,Thin_Adjustment,Estimated,Cave,Spring,Headwater,Creek,Small_River,Medium_River,Large_River,Lake_Impoundment,Swamp_Marsh,Coastal_Ocean,Riffles,Runs,Pools,Benthic,Surface,Nearshore_Littoral,OpenWater_Pelagic,Mud_Silt,Sand,Gravel,Rock_Rubble,Vegetation,Woody_Debris,Clear,Turbid,Warm,Cool,Cold,Lowlands,Uplands,Lower_Width,Upper_Width,Location_Notes,Habitat_Notes
796,137,-999,Salmonidae,Oncorhynchus,clarkii ssp.,Pikes Peak Cutthroat Trout,Salmon and Trout,Salmon/Trout,Y,,1,0,1,U,6,0,0,0,0,4,100,40,864.3,0.65,0.01123,3.05,0.64,0,0,XXX,-999,-999,A,A,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,1,25,,
797,137,-999,Salmonidae,Oncorhynchus,clarkii stomias,Greenback Cutthroat Trout,Salmon and Trout,Salmon/Trout,Y,407,0,0,1,U,8,0,0,0,0,4,75,40,864.3,0.65,0.01123,3.05,0.6,0,0,XXX,-999,-999,A,A,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,R,-999,-999,-999,-999,-999,A,-999,-999,-999,1,25,,
798,137,382,Salmonidae,Oncorhynchus,clarkii utah,Bonneville Cutthroat Trout,Salmon and Trout,Salmon/Trout,Y,406,1,0,1,U,3,9.6,1.2,0.7,2,4,60,30,359.42,0.65,0.01123,3.05,0.62,0,0,XXX,-999,-999,A,A,A,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,A,-999,-999,A,-999,-999,-999,1,50,,
799,137,-999,Salmonidae,Oncorhynchus,clarkii virginalis,Rio Grande Cutthroat Trout,Salmon and Trout,Salmon/Trout,Y,408,1,0,1,U,6,0,0,0,0,4,25,13.5,31.47,0.65,0.01123,3.05,0.59,0,0,XXX,-999,A,A,A,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,A,-999,-999,-999,0,10000,,
800,137,-999,Salmonidae,Oncorhynchus,clarkii x mykiss,Cutbow Trout,Salmon and Trout,Salmon/Trout,Y,,1,0,0,U,4,0,0,0,0,4,100,40,885.85,0.66,0.01151,3.05,0.64,0,0,XXX,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,1,25,,
801,137,-999,Salmonidae,Oncorhynchus,gilae,Gila Trout,Salmon and Trout,Salmon/Trout,Y,414,0,0,1,U,8,0,0,0,0,5,32,15,43.69,0.66,0.01071,3.07,0.55,0,1,XXX,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,A,-999,-999,-999,0,5,Only above 2000m,
802,137,-999,Salmonidae,Oncorhynchus,gorbuscha,Pink Salmon,Salmon and Trout,Salmon/Trout,Y,402,1,0,1,M,3,0,0,0,0,8,75,27.75,295.82,0.67,0.01097,3.07,0.65,0,1,XXX,-999,-999,-999,S,S,S,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,5,10000,,
803,137,-999,Salmonidae,Oncorhynchus,keta,Chum Salmon,Salmon and Trout,Salmon/Trout,Y,401,1,0,1,U,6,0,0,0,0,10,100,50,1803.2,0.67,0.01097,3.07,0.67,0,1,XXX,-999,-999,-999,S,S,S,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,5,10000,,
804,137,383,Salmonidae,Oncorhynchus,kisutch,Coho Salmon,Salmon and Trout,Salmon/Trout,Y,402,1,0,1,M,6,7,8.7,13.9,9.2,10,105,50,1803.2,0.67,0.01097,3.07,0.67,0,1,XXX,-999,-999,-999,S,S,S,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,5,10000,Rare south of central CA,
805,137,384,Salmonidae,Oncorhynchus,mykiss,Rainbow Trout,Salmon and Trout,Salmon/Trout,Y,410,1,0,1,M,3,16.8,46.2,29.5,27.5,4,120,40,896.99,0.67,0.02182,2.88,0.56,-0.0094,0,XXX,-999,A,A,A,A,A,A,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,0,10000,,
806,137,-999,Salmonidae,Oncorhynchus,mykiss aquilarum,Eagle Lake Rainbow Trout,Salmon and Trout,Salmon/Trout,Y,413,0,0,1,U,8,0,0,0,0,4,75,30,382.37,0.66,0.0213,2.88,0.55,0,0,XXX,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,0,0,"Only in Eagle Lake, CA",
807,137,-999,Salmonidae,Oncorhynchus,mykiss gairdneri,Columbia Rainbow Trout,Salmon and Trout,Salmon/Trout,Y,412,1,0,1,U,3,0,0,0,0,4,80,40,875.61,0.66,0.0213,2.88,0.56,0,0,XXX,-999,-999,A,A,A,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,1,10000,,
